hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper
17346,HIP17346,55.686250,-24.466111,25.9000,K5V,-51.5329,0,E17
17378,HIP17378,55.812083,-9.763333,9.0400,K0IV,-45.9958,0,E17
17395,HIP17395,55.890833,10.485556,42.9000,A5m,-33.8290,0,E17
17405,HIP17405,55.938333,16.667222,16.2000,M1,-29.4700,0,E17
17414,HIP17414,55.969167,16.671944,17.2000,M2,-29.4459,0,E17
17420,HIP17420,55.980417,-19.110833,14.0000,K2V,-49.7382,0,E17
17439,HIP17439,56.038333,-38.281667,16.2000,K1V,-52.3673,0,E17
17440,HIP17440,56.050000,-64.806667,30.5000,K0IV SB,-43.5366,0,E17
17496,HIP17496,56.212917,11.920000,21.8000,K8V:,-32.6158,0,E17
17544,HIP17544,56.350417,-27.862222,21.7000,K2V,-51.6213,0,E17
17609,HIP17609,56.583750,26.215278,14.5000,K5,-22.0606,0,E17
17651,HIP17651,56.712083,-23.249722,17.9000,F3/F5V,-50.3242,0,E17
17666,HIP17666,56.758750,41.427222,24.4000,K1V,-10.3189,0,E17
17749,HIP17749,57.004167,68.672778,17.3000,K0,11.0980,0,E17
17797,HIP17797,57.149583,-37.620000,49.4000,A+...,-51.5312,0,E17
17978,HIP17978,57.647917,-42.565278,26.7000,K2V,-50.6824,0,E17
18267,HIP18267,58.616667,16.615833,20.6000,G0,-27.6861,0,E17
18280,HIP18280,58.647917,-6.825833,15.4000,M0V,-42.0974,0,E17
18324,HIP18324,58.765833,61.166667,21.2000,K0V,5.7850,0,E17
18413,HIP18413,59.047917,59.641667,21.3000,G0,4.7072,0,E17
18450,HIP18450,59.151667,-41.343333,17.6000,K5V,-49.7208,0,E17
18512,HIP18512,59.369583,-1.159444,15.7000,K4V,-38.4342,0,E17
18774,HIP18774,60.331667,76.159167,15.9000,K4V,17.3873,0,E17
18859,HIP18859,60.652917,-0.268889,19.2000,F5V,-36.8722,0,E17
18907,HIP18907,60.789167,5.989167,39.6000,A1V,-33.0586,0,E17
18975,HIP18975,60.985833,8.197222,35.9000,F2V,-31.5320,0,E17
19076,HIP19076,61.334583,22.008889,16.7000,G5V,-22.0946,0,E17
19165,HIP19165,61.645000,-20.853056,23.5000,K7,-45.2595,1,E17
19205,HIP19205,61.752083,29.001111,27.5000,F1V,-16.8998,0,E17
19233,HIP19233,61.839583,-64.222222,23.1000,G3V,-41.6539,0,E17
19255,HIP19255,61.892917,38.074444,20.5000,G5,-10.2610,0,E17
19333,HIP19333,62.148750,-59.526667,25.6000,K4V,-43.4233,0,E17
19335,HIP19335,62.152500,38.039722,21.3000,F7V,-10.1465,0,E17
19337,HIP19337,62.155833,33.636944,13.6000,M1,-13.3348,0,E17
19422,HIP19422,62.395833,69.541111,18.4000,G5,13.0229,0,E17
19554,HIP19554,62.834583,5.522778,38.6000,F4V,-31.7240,0,E17
19655,HIP19655,63.175833,70.201389,25.8000,M0V:,13.6823,0,E17
19719,HIP19719,63.387917,7.715833,36.9000,F3V...,-29.9615,0,E17
19747,HIP19747,63.500417,-42.294167,35.9000,K1III,-46.4142,0,E17
19832,HIP19832,63.789583,-4.418056,20.4000,K5V,-36.4692,0,E17
GJ166,GJ166A,63.817917,-7.652500,4.9800,K0.5V,-38.0477,0,E17
19849,HIP19849,63.817917,-7.652778,5.0400,K1V,-38.0478,0,E17
GJ166BC,GJ166B,63.840417,-7.654444,4.9800,M5V,-38.0291,0,E17
19855,HIP19855,63.857500,6.199444,20.8000,G5IV,-30.5037,0,E17
19859,HIP19859,63.870000,6.186667,21.1000,G0IV...,-30.5014,0,E17
19884,HIP19884,63.987083,-53.309722,13.0000,K5V,-44.3763,0,E17
19893,HIP19893,64.006667,-51.486389,20.3000,F4III,-44.7850,0,E17
19921,HIP19921,64.120833,-59.301944,18.2000,K2IV,-42.5634,1,E17
