hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper,object_type
106396,HIP106396,323.24482661955,44.97816315389,,,,,,Star
106435,HIP106435,323.36941818744,42.97185334296,,,,,,Star
10646,HIP10646,34.26331164565,-14.21429002606,,,,,,Star
106464,HIP106464,323.4429819628,-5.41861796129,,,,,,SB*
106488,HIP106488,323.5318334971699,-4.36816313942,,,,,,Star
106559,HIP106559,323.71271763191,-20.08426080606,,,,,,HighPM*
106678,HIP106678,324.10816406255,18.63483434691,,,,,,HighPM*
106684,HIP106684,324.13452306608,20.52828201849,,,,,,Star
106696,HIP106696,324.1718480626437,-50.8453856135525,,,,,,HighPM*
106698,HIP106698,324.18053880864,-13.45935103393,,,,,,Star
106787,HIP106787,324.4392923822,19.31860917015,,,,,,HighPM*
10681,HIP10681,34.35697690628,65.26209689519,,,,,,Star
106831,HIP106831,324.5641869343,-13.53344185601,,,,,,Star
106915,HIP106915,324.79303255616,31.69321735334,,,,,,HighPM*
106934,HIP106934,324.85428112898,31.5332747194,,,,,,Star
106940,HIP106940,324.8760789592,30.1561751781,,,,,,**
106953,HIP106953,324.91774661849,17.96922870163,,,,,,Star
106970,HIP106970,324.97487535869,44.43214070069,,,,,,Star
106988,HIP106988,325.02540558748,-11.32830434516,,,,,,PulsV*
107013,HIP107013,325.10209381024,34.2101841404,,,,,,Star
107022,HIP107022,325.12405828372,-74.07428101361,,,,,,HighPM*
10706,HIP10706,34.45225895185,-16.86185345306,,,,,,Star
107071,HIP107071,325.28049609502,-10.78078405671,,,,,,Star
107089,HIP107089,325.3689251479717,-77.39000876162,,,,,,SB*
107127,HIP107127,325.5018965203999,-12.2496075194,,,,,,Star
107143,HIP107143,325.5423098499587,-41.1250460067128,,,,,,SB*
107156,HIP107156,325.58433839911,43.56758257066,,,,,,Star
107175,HIP107175,325.63798141502,17.84230943385,,,,,,HighPM*
10720,HIP10720,34.5008435059,-16.80145622999,,,,,,Star
107298,HIP107298,325.9959946612599,34.89985913906,,,,,,SB*
107394,HIP107394,326.28798837425,22.89638855908,,,,,,Star
10743,HIP10743,34.5606704612,65.5943586703,,,,,,Star
107468,HIP107468,326.5094414154354,45.1058262088794,,,,,,Star
107498,HIP107498,326.58944081945,22.94629089653,,,,,,Star
107512,HIP107512,326.61997594358,22.17446032426,,,,,,**
107649,HIP107649,327.0656298475778,-47.3036160814856,,,,,,HighPM*
107711,HIP107711,327.2993779604,-41.5590096381,,,,,,**
107727,HIP107727,327.34588813787,34.06489563537,,,,,,Star
107772,HIP107772,327.499107296992,-41.2450385722142,,,,,,HighPM*
107786,HIP107786,327.53430011846,19.4239963509,,,,,,SB*
107800,HIP107800,327.57689157339,65.88993442869,,,,,,Star
10781,HIP10781,34.69198535644,7.70569812338,,,,,,HighPM*
107855,HIP107855,327.77058185,66.83733669,,,,,,**
107863,HIP107863,327.7945552443999,3.10663750642,,,,,,Star
107870,HIP107870,327.83739332622,18.48569377801,,,,,,HighPM*
107887,HIP107887,327.89270257332,19.82668198511,,,,,,Star
